user_id,group,user_segment,device,region,converted,revenue,incentive_cost,sessions,time_on_site_mins
AB010128,Control,New,Mobile,West,0,0.0,0.0,7,24.2
AB010129,Control,Returning,Desktop,South,0,0.0,0.0,4,22.7
AB010130,Control,New,Mobile,North,0,0.0,0.0,5,26.4
AB010131,Control,New,Desktop,North,0,0.0,0.0,3,15.2
AB010132,Control,Returning,Desktop,South,1,983.47,0.0,11,79.4
AB010133,Control,New,Mobile,South,0,0.0,0.0,7,30.3
AB010134,Control,New,Mobile,North,0,0.0,0.0,7,43.2
AB010135,Control,Returning,Mobile,North,0,0.0,0.0,8,29.0
AB010136,Control,New,Tablet,South,0,0.0,0.0,1,5.9
AB010137,Control,Power,Desktop,East,0,0.0,0.0,7,43.2
AB010138,Control,New,Mobile,West,0,0.0,0.0,4,10.5
AB010139,Control,Power,Mobile,North,0,0.0,0.0,6,43.9
AB010140,Control,Power,Desktop,West,0,0.0,0.0,8,32.1
AB010141,Control,New,Desktop,East,0,0.0,0.0,8,47.2
AB010142,Control,Returning,Mobile,North,0,0.0,0.0,4,25.3
AB010143,Control,New,Mobile,East,0,0.0,0.0,6,43.6
AB010144,Control,Power,Mobile,North,0,0.0,0.0,4,11.9
AB010145,Control,New,Desktop,South,0,0.0,0.0,6,34.1
AB010146,Control,Returning,Mobile,West,1,1469.57,0.0,6,37.4
AB010147,Control,Returning,Mobile,North,0,0.0,0.0,6,42.5
AB010148,Control,Power,Mobile,West,0,0.0,0.0,1,5.6
AB010149,Control,New,Mobile,South,0,0.0,0.0,2,8.7
AB010150,Control,Returning,Desktop,North,0,0.0,0.0,1,4.3
AB010151,Control,New,Mobile,South,0,0.0,0.0,8,36.5
AB010152,Control,Returning,Desktop,North,1,1387.08,0.0,5,28.3
AB010153,Control,New,Mobile,North,0,0.0,0.0,5,26.9
AB010154,Control,Returning,Mobile,South,0,0.0,0.0,7,21.2
AB010155,Control,Power,Desktop,West,0,0.0,0.0,3,21.4
AB010156,Control,Returning,Desktop,South,1,776.28,0.0,4,16.6
AB010157,Control,Power,Mobile,West,0,0.0,0.0,4,13.1
AB010158,Control,New,Mobile,East,0,0.0,0.0,4,17.7
AB010159,Control,New,Desktop,West,1,889.89,0.0,7,32.5
AB010160,Control,Returning,Desktop,South,0,0.0,0.0,3,12.9
AB010161,Control,Returning,Mobile,North,0,0.0,0.0,2,12.9
AB010162,Control,New,Mobile,South,0,0.0,0.0,8,41.1
AB010163,Control,New,Desktop,North,0,0.0,0.0,7,34.9
AB010164,Control,New,Mobile,West,0,0.0,0.0,7,45.4
AB010165,Control,New,Mobile,South,0,0.0,0.0,1,5.0
AB010166,Control,Power,Mobile,North,0,0.0,0.0,1,3.3
AB010167,Control,New,Mobile,North,0,0.0,0.0,6,24.0
AB010168,Control,New,Mobile,South,0,0.0,0.0,7,43.0
AB010169,Control,Returning,Mobile,West,0,0.0,0.0,1,4.1
AB010170,Control,New,Desktop,South,0,0.0,0.0,3,16.2
AB010171,Control,New,Desktop,West,0,0.0,0.0,8,40.4
AB010172,Control,New,Mobile,South,0,0.0,0.0,7,47.0
AB010173,Control,New,Mobile,North,0,0.0,0.0,2,11.0
AB010174,Control,Returning,Desktop,South,0,0.0,0.0,8,42.2
AB010175,Control,Returning,Mobile,South,0,0.0,0.0,6,29.0
AB010176,Control,Returning,Mobile,South,0,0.0,0.0,6,48.0
AB010177,Control,Power,Mobile,North,0,0.0,0.0,5,38.8
AB010178,Control,Power,Mobile,East,1,2959.38,0.0,9,60.5
AB010179,Control,Returning,Mobile,South,0,0.0,0.0,4,20.4
AB010180,Control,New,Desktop,North,0,0.0,0.0,6,34.5
AB010181,Control,New,Tablet,South,0,0.0,0.0,2,11.5
AB010182,Control,Returning,Mobile,East,0,0.0,0.0,5,18.5
AB010183,Control,New,Desktop,East,0,0.0,0.0,2,11.4
AB010184,Control,Power,Mobile,West,1,1851.14,0.0,9,56.9
AB010185,Control,New,Desktop,North,0,0.0,0.0,8,27.9
AB010186,Control,Returning,Desktop,North,0,0.0,0.0,2,15.5
AB010187,Control,Returning,Desktop,East,0,0.0,0.0,1,3.4
AB010188,Control,New,Mobile,West,1,1009.79,0.0,5,39.7
AB010189,Control,Power,Mobile,South,1,3595.49,0.0,3,19.0
AB010190,Control,Returning,Desktop,South,0,0.0,0.0,4,27.6
AB010191,Control,New,Desktop,West,0,0.0,0.0,4,12.1
AB010192,Control,Returning,Mobile,West,1,1005.55,0.0,12,64.8
AB010193,Control,Returning,Mobile,South,0,0.0,0.0,2,6.0
AB010194,Control,Returning,Mobile,East,0,0.0,0.0,4,26.2
AB010195,Control,Returning,Desktop,North,0,0.0,0.0,7,44.6
AB010196,Control,New,Mobile,East,0,0.0,0.0,4,16.0
AB010197,Control,Power,Mobile,North,0,0.0,0.0,4,19.9
AB010198,Control,Returning,Desktop,North,0,0.0,0.0,8,63.6
AB010199,Control,New,Tablet,East,0,0.0,0.0,5,25.2
AB010200,Control,Power,Mobile,South,1,3197.38,0.0,8,26.3
AB010201,Control,New,Mobile,North,0,0.0,0.0,1,5.2
AB010202,Control,Returning,Mobile,East,0,0.0,0.0,5,34.2
AB010203,Control,Power,Mobile,East,0,0.0,0.0,7,42.8
AB010204,Control,New,Mobile,South,0,0.0,0.0,3,8.5
AB010205,Control,New,Desktop,East,0,0.0,0.0,4,25.6
AB010206,Control,New,Mobile,South,0,0.0,0.0,1,3.1
AB010207,Control,Power,Desktop,West,0,0.0,0.0,8,33.0
AB010208,Control,Returning,Mobile,South,0,0.0,0.0,7,53.1
AB010209,Control,Returning,Desktop,East,0,0.0,0.0,7,27.0
AB010210,Control,New,Desktop,North,0,0.0,0.0,4,23.7
AB010211,Control,Power,Mobile,East,1,3430.46,0.0,10,42.6
AB010212,Control,New,Desktop,West,0,0.0,0.0,1,3.2
AB010213,Control,New,Mobile,South,0,0.0,0.0,7,39.8
AB010214,Control,New,Desktop,West,0,0.0,0.0,6,19.3
AB010215,Control,Power,Mobile,West,0,0.0,0.0,5,39.0
AB010216,Control,New,Mobile,West,0,0.0,0.0,3,22.1
AB010217,Control,New,Desktop,East,1,792.47,0.0,9,56.4
AB010218,Control,Returning,Mobile,West,0,0.0,0.0,5,19.8
AB010219,Control,New,Mobile,North,0,0.0,0.0,3,17.1
AB010220,Control,New,Desktop,South,0,0.0,0.0,1,6.4
AB010221,Control,New,Desktop,South,0,0.0,0.0,6,47.1
AB010222,Control,New,Mobile,North,0,0.0,0.0,4,27.2
AB010223,Control,Power,Desktop,West,0,0.0,0.0,2,13.7
AB010224,Control,New,Mobile,South,0,0.0,0.0,2,10.1
AB010225,Control,New,Desktop,South,0,0.0,0.0,2,8.8
AB010226,Control,New,Mobile,North,0,0.0,0.0,3,19.8
AB010227,Control,Returning,Desktop,South,0,0.0,0.0,1,7.2
AB010228,Control,Power,Mobile,North,1,1929.49,0.0,2,12.0
AB010229,Control,Power,Mobile,South,0,0.0,0.0,1,6.9
AB010230,Control,Returning,Mobile,South,0,0.0,0.0,2,8.6
AB010231,Control,Power,Mobile,South,0,0.0,0.0,7,28.7
AB010232,Control,New,Desktop,North,0,0.0,0.0,1,6.6
AB010233,Control,Returning,Mobile,West,0,0.0,0.0,4,25.8
AB010234,Control,Returning,Desktop,West,0,0.0,0.0,7,34.8
AB010235,Control,Power,Mobile,East,0,0.0,0.0,8,41.2
AB010236,Control,Returning,Mobile,West,1,1130.37,0.0,5,26.0
AB010237,Control,New,Mobile,North,0,0.0,0.0,1,6.8
AB010238,Control,New,Mobile,North,0,0.0,0.0,4,25.4
AB010239,Control,Returning,Mobile,East,0,0.0,0.0,8,41.7
AB010240,Control,New,Mobile,North,0,0.0,0.0,4,17.3
AB010241,Control,Returning,Desktop,West,1,1868.61,0.0,9,25.8
AB010242,Control,New,Desktop,North,0,0.0,0.0,1,7.9
AB010243,Control,Power,Mobile,East,0,0.0,0.0,5,19.0
AB010244,Control,New,Tablet,West,1,634.13,0.0,6,45.7
AB010245,Control,Returning,Tablet,East,0,0.0,0.0,5,17.9
AB010246,Control,New,Mobile,North,0,0.0,0.0,8,45.1
AB010247,Control,Returning,Desktop,West,0,0.0,0.0,7,24.9
AB010248,Control,Returning,Mobile,East,0,0.0,0.0,2,12.0
AB010249,Control,New,Mobile,North,0,0.0,0.0,2,13.4
AB010250,Control,New,Mobile,West,0,0.0,0.0,1,4.5
AB010251,Control,Returning,Mobile,West,1,1510.0,0.0,2,5.2
AB010252,Control,New,Mobile,North,0,0.0,0.0,2,8.8
AB010253,Control,New,Desktop,North,0,0.0,0.0,7,28.9
AB010254,Control,Power,Mobile,North,0,0.0,0.0,5,28.5
AB010255,Control,New,Tablet,West,0,0.0,0.0,7,51.7
AB010256,Control,Power,Mobile,West,0,0.0,0.0,5,20.2
AB010257,Control,Power,Mobile,West,0,0.0,0.0,5,34.2
AB010258,Control,New,Mobile,South,0,0.0,0.0,8,48.6
AB010259,Control,Power,Mobile,North,0,0.0,0.0,1,5.5
AB010260,Control,Power,Mobile,South,0,0.0,0.0,2,15.0
AB010261,Control,New,Mobile,West,0,0.0,0.0,1,5.0
AB010262,Control,Returning,Mobile,North,0,0.0,0.0,3,19.1
AB010263,Control,New,Tablet,East,0,0.0,0.0,3,12.0
AB010264,Control,New,Mobile,West,0,0.0,0.0,3,21.1
AB010265,Control,Returning,Desktop,North,0,0.0,0.0,2,8.2
AB010266,Control,New,Desktop,South,0,0.0,0.0,3,23.5
AB010267,Control,Power,Mobile,South,0,0.0,0.0,1,7.6
AB010268,Control,New,Mobile,East,0,0.0,0.0,2,6.8
AB010269,Control,Returning,Mobile,North,0,0.0,0.0,3,19.3
AB010270,Control,Returning,Mobile,West,0,0.0,0.0,6,47.7
AB010271,Control,New,Mobile,West,1,604.82,0.0,12,49.3
AB010272,Control,Returning,Mobile,South,0,0.0,0.0,2,5.5
AB010273,Control,New,Mobile,North,0,0.0,0.0,2,8.2
AB010274,Control,New,Mobile,North,0,0.0,0.0,1,4.0
AB010275,Control,New,Mobile,East,0,0.0,0.0,2,11.3
AB010276,Control,Power,Mobile,South,0,0.0,0.0,4,30.8
AB010277,Control,New,Mobile,East,0,0.0,0.0,7,52.1
AB010278,Control,Power,Mobile,South,1,2932.1,0.0,8,37.7
AB010279,Control,Returning,Desktop,North,1,1894.69,0.0,8,49.8
AB010280,Control,New,Mobile,East,1,728.35,0.0,11,84.9
AB010281,Control,New,Desktop,North,0,0.0,0.0,2,6.0
AB010282,Control,New,Mobile,North,1,963.24,0.0,2,7.5
AB010283,Control,New,Mobile,South,0,0.0,0.0,3,14.9
AB010284,Control,Returning,Desktop,South,0,0.0,0.0,5,16.9
AB010285,Control,Returning,Mobile,East,0,0.0,0.0,5,35.2
AB010286,Control,Returning,Mobile,East,0,0.0,0.0,6,26.4
AB010287,Control,New,Mobile,North,0,0.0,0.0,6,41.6
AB010288,Control,Returning,Desktop,South,0,0.0,0.0,6,41.0
AB010289,Control,New,Mobile,West,0,0.0,0.0,3,15.2
AB010290,Control,Returning,Mobile,East,0,0.0,0.0,4,10.5
AB010291,Control,Returning,Tablet,South,0,0.0,0.0,7,19.3
AB010292,Control,Returning,Tablet,West,0,0.0,0.0,8,28.5
AB010293,Control,Returning,Desktop,West,0,0.0,0.0,8,63.4
AB010294,Control,Power,Mobile,South,0,0.0,0.0,4,31.8
AB010295,Control,New,Mobile,East,0,0.0,0.0,6,26.4
AB010296,Control,Power,Mobile,West,0,0.0,0.0,3,16.0
AB010297,Control,Returning,Mobile,East,0,0.0,0.0,5,13.0
AB010298,Control,Returning,Desktop,West,0,0.0,0.0,7,39.8
AB010299,Control,Power,Mobile,North,0,0.0,0.0,6,29.8
AB010300,Control,Power,Mobile,West,0,0.0,0.0,4,31.3
AB010301,Control,New,Mobile,East,0,0.0,0.0,3,18.2
AB010302,Control,Returning,Mobile,South,0,0.0,0.0,5,36.4
AB010303,Control,Returning,Mobile,East,0,0.0,0.0,5,35.2
AB010304,Control,Returning,Mobile,East,1,1096.41,0.0,6,29.8
AB010305,Control,Returning,Mobile,North,0,0.0,0.0,3,10.6
AB010306,Control,New,Mobile,East,0,0.0,0.0,3,16.7
AB010307,Control,New,Mobile,North,0,0.0,0.0,5,37.0
AB010308,Control,Power,Mobile,North,0,0.0,0.0,2,7.8
AB010309,Control,New,Mobile,West,0,0.0,0.0,7,39.1
AB010310,Control,Returning,Mobile,South,1,1375.92,0.0,5,37.2
AB010311,Control,New,Mobile,East,0,0.0,0.0,5,15.5
AB010312,Control,Returning,Mobile,South,0,0.0,0.0,4,12.3
AB010313,Control,Power,Mobile,North,0,0.0,0.0,6,43.6
AB010314,Control,Returning,Tablet,West,0,0.0,0.0,2,13.1
AB010315,Control,New,Mobile,North,0,0.0,0.0,7,45.7
AB010316,Control,Power,Desktop,North,0,0.0,0.0,2,9.8
AB010317,Control,New,Mobile,South,1,1000.0,0.0,2,9.2
AB010318,Control,New,Desktop,South,0,0.0,0.0,5,37.0
AB010319,Control,Returning,Desktop,East,1,1948.92,0.0,3,10.5
AB010320,Control,Returning,Mobile,East,0,0.0,0.0,1,6.0
AB010321,Control,Power,Tablet,North,0,0.0,0.0,8,22.1
AB010322,Control,New,Mobile,East,0,0.0,0.0,3,21.5
AB010323,Control,Returning,Mobile,South,0,0.0,0.0,4,22.4
AB010324,Control,Power,Mobile,East,1,2098.93,0.0,9,34.5
AB010325,Control,New,Mobile,West,0,0.0,0.0,1,2.5
AB010326,Control,Power,Desktop,East,1,2040.1,0.0,3,19.4
AB010327,Control,Power,Desktop,East,0,0.0,0.0,7,40.4
AB010328,Control,New,Desktop,North,0,0.0,0.0,5,30.1
AB010329,Control,Returning,Desktop,East,0,0.0,0.0,4,11.5
AB010330,Control,Returning,Mobile,South,0,0.0,0.0,7,18.7
AB010331,Control,Power,Mobile,East,0,0.0,0.0,2,11.7
AB010332,Control,Returning,Desktop,East,0,0.0,0.0,4,30.8
AB010333,Control,Power,Mobile,West,0,0.0,0.0,1,7.1
AB010334,Control,New,Mobile,South,0,0.0,0.0,8,29.2
AB010335,Control,New,Desktop,South,0,0.0,0.0,8,39.1
AB010336,Control,Returning,Desktop,North,0,0.0,0.0,1,2.7
AB010337,Control,New,Mobile,South,0,0.0,0.0,8,34.8
AB010338,Control,New,Desktop,South,0,0.0,0.0,4,12.8
AB010339,Control,Returning,Mobile,South,0,0.0,0.0,7,18.4
AB010340,Control,Returning,Mobile,South,0,0.0,0.0,1,2.8
AB010341,Control,Returning,Mobile,West,0,0.0,0.0,5,27.0
AB010342,Control,New,Mobile,South,0,0.0,0.0,6,37.0
AB010343,Control,Power,Desktop,North,0,0.0,0.0,1,3.1
AB010344,Control,Power,Mobile,West,0,0.0,0.0,1,3.5
AB010345,Control,Returning,Desktop,East,1,1043.77,0.0,9,25.8
AB010346,Control,Returning,Desktop,East,0,0.0,0.0,3,8.2
AB010347,Control,New,Mobile,East,0,0.0,0.0,2,9.5
AB010348,Control,Power,Desktop,East,0,0.0,0.0,5,37.8
AB010349,Control,New,Mobile,North,0,0.0,0.0,6,44.9
AB010350,Control,New,Desktop,South,0,0.0,0.0,5,21.3
AB010351,Control,New,Mobile,North,0,0.0,0.0,1,4.3
AB010352,Control,New,Mobile,West,0,0.0,0.0,4,25.5
AB010353,Control,New,Desktop,South,0,0.0,0.0,5,21.3
AB010354,Control,Power,Mobile,North,1,2459.89,0.0,5,27.0
AB010355,Control,New,Desktop,South,0,0.0,0.0,5,39.8
AB010356,Control,Returning,Mobile,West,0,0.0,0.0,2,14.9
AB010357,Control,New,Mobile,West,0,0.0,0.0,5,34.9
AB010358,Control,Power,Desktop,North,0,0.0,0.0,3,12.3
AB010359,Control,New,Tablet,West,0,0.0,0.0,3,14.9
AB010360,Control,New,Mobile,North,0,0.0,0.0,8,30.9
AB010361,Control,New,Mobile,West,0,0.0,0.0,2,15.1
AB010362,Control,Returning,Mobile,South,0,0.0,0.0,2,7.2
AB010363,Control,Returning,Mobile,South,0,0.0,0.0,2,10.4
AB010364,Control,New,Mobile,South,0,0.0,0.0,1,5.7
AB010365,Control,Returning,Desktop,East,0,0.0,0.0,7,51.5
AB010366,Control,Returning,Mobile,South,0,0.0,0.0,5,13.1
AB010367,Control,Returning,Mobile,South,0,0.0,0.0,2,14.7
AB010368,Control,Power,Mobile,North,1,2901.41,0.0,10,60.2
AB010369,Control,Returning,Desktop,West,0,0.0,0.0,8,41.6
AB010370,Control,New,Mobile,East,0,0.0,0.0,1,6.2
AB010371,Control,Returning,Tablet,East,0,0.0,0.0,1,3.1
AB010372,Control,Power,Mobile,South,0,0.0,0.0,5,23.5
AB010373,Control,Power,Mobile,South,0,0.0,0.0,5,36.4
AB010374,Control,Power,Mobile,North,0,0.0,0.0,4,12.1
AB010375,Control,New,Mobile,East,0,0.0,0.0,3,23.4
AB010376,Control,New,Mobile,South,0,0.0,0.0,7,30.8
AB010377,Control,Returning,Mobile,West,0,0.0,0.0,5,21.0
AB010378,Control,Power,Mobile,East,0,0.0,0.0,7,43.1
AB010379,Control,Power,Mobile,West,0,0.0,0.0,1,2.6
AB010380,Control,Returning,Desktop,South,0,0.0,0.0,6,43.0
AB010381,Control,Returning,Mobile,South,0,0.0,0.0,7,26.6
AB010382,Control,New,Desktop,East,0,0.0,0.0,2,7.0
AB010383,Control,New,Mobile,South,0,0.0,0.0,3,22.7
AB010384,Control,New,Desktop,South,0,0.0,0.0,5,37.6
AB010385,Control,Returning,Mobile,North,1,1717.77,0.0,10,49.3
AB010386,Control,Returning,Desktop,North,0,0.0,0.0,6,20.4
AB010387,Control,New,Mobile,North,0,0.0,0.0,5,30.7
AB010388,Control,New,Mobile,West,1,654.45,0.0,5,27.1
AB010389,Control,Power,Mobile,North,0,0.0,0.0,3,8.3
AB010390,Control,Returning,Desktop,South,0,0.0,0.0,4,30.3
AB010391,Control,New,Mobile,North,0,0.0,0.0,4,28.9
AB010392,Control,Returning,Desktop,South,0,0.0,0.0,2,9.0
AB010393,Control,Returning,Mobile,North,0,0.0,0.0,1,5.3
AB010394,Control,New,Desktop,North,0,0.0,0.0,8,39.1
AB010395,Control,Returning,Desktop,South,0,0.0,0.0,2,14.8
AB010396,Control,Returning,Desktop,East,1,1597.82,0.0,12,39.8
AB010397,Control,Returning,Mobile,North,0,0.0,0.0,5,13.8
AB010398,Control,Returning,Mobile,East,0,0.0,0.0,6,25.5
AB010399,Control,Returning,Desktop,East,0,0.0,0.0,3,9.4
AB010400,Control,New,Desktop,South,0,0.0,0.0,6,32.1
AB010401,Control,New,Tablet,West,0,0.0,0.0,5,31.4
AB010402,Control,Returning,Mobile,East,0,0.0,0.0,3,23.1
AB010403,Control,Returning,Mobile,West,0,0.0,0.0,7,34.8
AB010404,Control,Returning,Desktop,North,0,0.0,0.0,4,31.7
AB010405,Control,New,Desktop,North,0,0.0,0.0,7,44.2
AB010406,Control,New,Desktop,North,1,1114.09,0.0,3,22.1
AB010407,Control,Returning,Mobile,North,0,0.0,0.0,1,5.6
